fact_id,year,date,category,claim,value,unit,source_grade,source_url,verification_status,data_indicators,target_files
F2026-006,2026,2026-04-23,model,GPT-5.5 release,1,event,A,https://openai.com/index/introducing-gpt-5-5/,spot-checked,GPT-5.5 release,timeline/2026.md;technology/2026.md;data/2026_snapshot.csv
F2026-007,2026,2026-04-24,model,DeepSeek-V4 release,1,event,A,https://www.deepseek.com/en/transparency/,spot-checked,DeepSeek-V4 release,timeline/2026.md;technology/2026.md;biographies/first-tier/deepseek.md;data/2026_snapshot.csv
F2026-008,2026,2026-05-19,product,Gemini monthly users,900,million users,A,https://blog.google/innovation-and-ai/products/gemini-app/next-evolution-gemini-app/,spot-checked,Gemini app monthly users,timeline/2026.md;data/2026_snapshot.csv
F2026-009,2026,2026-05-28,economy,Anthropic Series H post-money valuation,965,billion USD,A,https://www.anthropic.com/news/series-h,spot-checked,Anthropic Series H post-money valuation,timeline/2026.md;data/2026_snapshot.csv
F2026-010,2026,2026-06-01,model,MiniMax M3 release,1,event,A,https://www.minimax.io/blog/minimax-m3,spot-checked,MiniMax M3 release,timeline/2026.md;technology/2026.md;biographies/second-tier/china/minimax.md;data/2026_snapshot.csv
F2026-011,2026,2026-06-09,model,Claude Fable 5 and Mythos 5 release,1,event,A,https://www.anthropic.com/news/claude-fable-5-mythos-5,spot-checked,Claude Fable 5 and Mythos 5 release,timeline/2026.md;technology/2026.md;biographies/first-tier/claude.md;data/2026_snapshot.csv
F2026-012,2026,2026-06-26,model,GPT-5.6 Sol limited preview,1,event,A,https://openai.com/index/previewing-gpt-5-6-sol/,spot-checked,GPT-5.6 Sol limited preview,timeline/2026.md;technology/2026.md;biographies/first-tier/chatgpt.md;data/2026_snapshot.csv
F2026-013,2026,2026-07-22,agent,OpenAI Presence release,1,event,A,https://openai.com/index/introducing-openai-presence/,spot-checked,OpenAI Presence release,timeline/2026.md;technology/2026.md;biographies/first-tier/chatgpt.md;data/2026_snapshot.csv
F2026-014,2026,2026-07-31,model,MiniMax H3 release,1,event,A,https://platform.minimax.io/docs/release-notes/models,spot-checked,MiniMax H3 release,timeline/2026.md;technology/2026.md;biographies/second-tier/china/minimax.md;data/2026_snapshot.csv
F2026-015,2026,2026,adoption,Organizations using AI,88,percent,B,https://hai.stanford.edu/ai-index/2026-ai-index-report,spot-checked,Organization AI adoption,timeline/2026.md;technology/2026.md;data/2026_snapshot.csv
F2026-016,2026,2026,benchmark,SWE-bench Verified performance,near 100,percent,B,https://hai.stanford.edu/ai-index/2026-ai-index-report,spot-checked,SWE-bench Verified performance,timeline/2026.md;technology/2026.md;data/2026_snapshot.csv
F2026-017,2026,2026,infrastructure,AI data-center power capacity,29.6,gigawatts,B,https://hai.stanford.edu/ai-index/2026-ai-index-report/research-and-development,spot-checked,AI data-center power capacity,timeline/2026.md;technology/2026.md;data/2026_snapshot.csv
F2026-018,2026,2026,safety,Documented AI incidents,362,incidents,B,https://hai.stanford.edu/ai-index/2026-ai-index-report,spot-checked,Documented AI incidents,timeline/2026.md;technology/2026.md;data/2026_snapshot.csv
F2022-006,2022,2022-04-12,model,Chinchilla parameters,70,billion parameters,B,https://deepmind.google/blog/an-empirical-analysis-of-compute-optimal-large-language-model-training/,spot-checked,Chinchilla parameters,timeline/2022.md;technology/2022.md;data/2022_snapshot.csv
F2022-007,2022,2022-09-28,event,DALL-E active users at waitlist removal,1.5,million users (more than),A,https://openai.com/index/dall-e-now-available-without-waitlist/,spot-checked,DALL-E active users at waitlist removal,timeline/2022.md;technology/2022.md;data/2022_snapshot.csv
F2022-008,2022,2022-09-28,dataset,DALL-E daily images at waitlist removal,2,million images/day (more than),A,https://openai.com/index/dall-e-now-available-without-waitlist/,spot-checked,DALL-E daily images at waitlist removal,timeline/2022.md;technology/2022.md;data/2022_snapshot.csv
F2023-006,2023,2023-04-05,dataset,SAM dataset images,11,million images,A,https://ai.meta.com/research/publications/segment-anything/,spot-checked,SAM dataset images,timeline/2023.md;technology/2023.md;data/2023_snapshot.csv
F2024-007,2024,2024-06-11,metric,Qwen2 model smallest size,0.5,billion parameters,A,https://www.alibabacloud.com/blog/601268,spot-checked,Qwen2 model smallest size,timeline/2024.md;technology/2024.md;data/2024_snapshot.csv
F2024-008,2024,2024-06-11,metric,Qwen2 model largest size,72,billion parameters,A,https://www.alibabacloud.com/blog/601268,spot-checked,Qwen2 model largest size,timeline/2024.md;technology/2024.md;data/2024_snapshot.csv
F2024-009,2024,2024-07-23,context,Llama 3.1 context,128000,tokens,A,https://ai.meta.com/blog/meta-llama-3-1/,spot-checked,Llama 3.1 context,timeline/2024.md;technology/2024.md;data/2024_snapshot.csv
F2024-010,2024,2024-09-25,metric,Llama 3.2 vision small model,11,billion parameters,A,https://ai.meta.com/blog/llama-3-2-connect-2024-vision-edge-mobile-devices/,spot-checked,Llama 3.2 vision small model,timeline/2024.md;technology/2024.md;data/2024_snapshot.csv
F2025-016,2025,2025-03-25,event,Gemini 2.5 family release,1,event,A,https://blog.google/products-and-platforms/products/gemini/gemini-2-5-model-family-expands/,spot-checked,Gemini 2.5 family release,timeline/2025.md;technology/2025.md;data/2025_snapshot.csv
F2025-017,2025,2025-08-05,model,gpt-oss-20b total parameters,20.9,billion parameters,A,https://openai.com/index/gpt-oss-model-card/,spot-checked,gpt-oss-20b total parameters,timeline/2025.md;technology/2025.md;data/2025_snapshot.csv
F2025-018,2025,2025-08-05,event,gpt-oss-20b active parameters,3.6,billion parameters,A,https://openai.com/index/gpt-oss-model-card/,spot-checked,gpt-oss-20b active parameters,timeline/2025.md;technology/2025.md;data/2025_snapshot.csv
F2025-019,2025,2024-10,economy,GPT-3.5-level inference cost,0.07,USD per million tokens,B,https://hai.stanford.edu/ai-index/2025-ai-index-report/research-and-development,spot-checked,GPT-3.5-level inference cost,timeline/2025.md;technology/2025.md;data/2025_snapshot.csv
F2025-020,2025,2025-04-07,economy,US private AI investment in 2024,109.1,billion USD,B,https://hai.stanford.edu/ai-index/2025-ai-index-report,spot-checked,US private AI investment in 2024,timeline/2025.md;technology/2025.md;data/2025_snapshot.csv
F2025-021,2025,2025-04-07,economy,China private AI investment in 2024,9.3,billion USD,B,https://hai.stanford.edu/ai-index/2025-ai-index-report,spot-checked,China private AI investment in 2024,timeline/2025.md;technology/2025.md;data/2025_snapshot.csv
F2025-022,2025,2025-09-29,event,Claude Sonnet 4.5 release,1,event,A,https://www.anthropic.com/news/claude-sonnet-4-5,spot-checked,Claude Sonnet 4.5 release,timeline/2025.md;technology/2025.md;data/2025_snapshot.csv
F2025-023,2025,2025-11-18,event,Gemini 3 release,1,event,A,https://blog.google/products-and-platforms/products/gemini/gemini-3/,spot-checked,Gemini 3 release,timeline/2025.md;technology/2025.md;data/2025_snapshot.csv
F2026-019,2026,2026-02-12,event,MiniMax M2.5 release,1,event,A,https://platform.minimax.io/docs/release-notes/models,spot-checked,MiniMax M2.5 release,timeline/2026.md;technology/2026.md;data/2026_snapshot.csv
F2026-020,2026,2026-04-21,event,ChatGPT Images 2.0 release,1,event,A,https://openai.com/index/introducing-chatgpt-images-2-0/,spot-checked,ChatGPT Images 2.0 release,timeline/2026.md;technology/2026.md;data/2026_snapshot.csv
F2026-021,2026,2026-05-19,metric,Gemini app countries,230,countries,A,https://blog.google/innovation-and-ai/products/gemini-app/next-evolution-gemini-app/,spot-checked,Gemini app countries,timeline/2026.md;technology/2026.md;data/2026_snapshot.csv
F2026-022,2026,2026-05-19,adoption,Gemini app languages,70,languages,A,https://blog.google/innovation-and-ai/products/gemini-app/next-evolution-gemini-app/,spot-checked,Gemini app languages,timeline/2026.md;technology/2026.md;data/2026_snapshot.csv
F2026-023,2026,2026-07-16,event,MiniMax Music-3.0 release,1,event,A,https://platform.minimax.io/docs/release-notes/models,spot-checked,MiniMax Music-3.0 release,timeline/2026.md;technology/2026.md;data/2026_snapshot.csv
F2026-024,2026,2026,adoption,University students using generative AI,80,percent,B,https://hai.stanford.edu/ai-index/2026-ai-index-report,spot-checked,University students using generative AI,timeline/2026.md;technology/2026.md;data/2026_snapshot.csv
F2026-025,2026,2026,metric,Notable frontier models produced by industry,90,percent,B,https://hai.stanford.edu/ai-index/2026-ai-index-report,spot-checked,Notable frontier models produced by industry,timeline/2026.md;technology/2026.md;data/2026_snapshot.csv
F2026-026,2026,2026,safety,Documented AI incidents in 2024,233,incidents,B,https://hai.stanford.edu/ai-index/2026-ai-index-report,spot-checked,Documented AI incidents in 2024,timeline/2026.md;technology/2026.md;data/2026_snapshot.csv
F2026-027,2026,2026,infrastructure,GitHub and Hugging Face open-source projects,5.6,million projects,B,https://hai.stanford.edu/ai-index/2026-ai-index-report/research-and-development,spot-checked,GitHub and Hugging Face open-source projects,timeline/2026.md;technology/2026.md;data/2026_snapshot.csv
F2026-028,2026,2026,economy,GPT-4o estimated annual inference water use,1.2,million people equivalent drinking water needs,B,https://hai.stanford.edu/ai-index/2026-ai-index-report/research-and-development,spot-checked,GPT-4o estimated annual inference water use,timeline/2026.md;technology/2026.md;data/2026_snapshot.csv
